     0 10.00     75 76.17     96 28.72    715
     1 20.00    178 183.33    249 54.88   6134
     2 30.00    208 214.62    267 88.79  30903
     3 40.00    160 166.21    395 90.14  44602
     4 50.00    168 173.51    243 96.58  54356
     5 60.00    152 154.59    252 98.34  59588
     6 70.00    144 147.41    299 97.62  63688
     7 80.00    144 148.11    212 98.91  66461
     8 90.00    148 149.65    614 98.04  67775
     9 100.00    137 144.79    256 98.21  69718
    10 110.00    145 148.94    246 101.16  69829
    11 120.00    136 140.25    237 98.58  71140
    12 130.00    141 143.09    514 98.53  71983
    13 140.00    139 144.68    251 100.06  71868
    14 150.00    136 140.22    239 96.57  72227
